Грустный смайлик;Ты грустишь? Ты можешь рассказать что произошло?
Поругалась с сестрой Поругалась с братом Поругалась с парнем;Ты говорила об этом со взрослыми?
Поругался с сестрой Поругался с девушкой;Ты говорил об этом со взрослыми?
Хмурый смайлик;Ты не в настроении? Что тебя расстроило?
Плачущий смайлик;Что случилось? Тебя кто-то обидел?
Одноклассники меня игнорируют;Ты разговаривал об этом с родителями или с кем-то из старших?
;Ты разговаривала об этом с родителями или с кем-то из старших?
Одноклассники издеваются надо мной;Ты разговаривал об этом с родителями или с кем-то из старших?
;Ты разговаривала об этом с родителями или с кем-то из старших?
"Смайлик ""Сердечко""";Ты влюбился? Она знает о твоих чувствах?
;Ты влюбилась? Он знает о твоих чувствах?
Мне нравится девушка;Ты говорил с ней о своих чувствах?
Мне нравится парень;Ты говорила с ним о своих чувствах?
Я не понимаю родителей;У тебя есть друг, с которым ты это можешь обсудить?
Меня не понимают родители;Ты пробовал/ пробовала с ними это обсуждать?
Родители мне не доверяют;Ты обсуждал/ обсуждала  с кем-то из родителей этот вопрос?
Родители узнали что я курю;Ты разговаривал на эту тему с родителями?
Испуганный смайлик;Ты боишься? Что тебя испугало?